"product_id","category_id","event_id","location_id","event_date","quantity","amount"
"542434","28351","52588944","5548","2018-03-20 06:52:06","1","895"
"542436","28351","52588944","5548","2018-03-20 06:52:06","1","775"
"542443","28351","52588944","5548","2018-03-20 06:52:06","2","400"
"542787","28352","52588944","5548","2018-03-20 06:52:06","1","325"
"542435","28351","52588944","5548","2018-03-20 06:52:06","1","775"
"542428","28351","52588944","5548","2018-03-20 06:52:06","1","650"
"542433","28352","52588944","5548","2018-03-20 06:52:06","1","400"
"542445","28351","52588944","5548","2018-03-20 06:52:06","1","400"
"542451","28351","52588946","5548","2018-03-20 08:55:40","1","650"
"542445","28351","52588946","5548","2018-03-20 08:55:40","1","400"
"542437","28351","52588942","5548","2018-03-20 09:32:21","1","995"
"542433","28352","52588942","5548","2018-03-20 09:32:21","2","400"
"542428","28351","52588942","5548","2018-03-20 09:32:21","1","650"
"542434","28351","52588945","5548","2018-03-20 09:37:42","1","895"
"542435","28351","52588945","5548","2018-03-20 09:37:42","1","650"
"542439","28353","52588945","5548","2018-03-20 09:37:42","1","100"
"542459","28356","52588955","5548","2018-03-21 08:25:58","1","950"
"542789","28353","52588955","5548","2018-03-21 08:25:58","1","100"
"542448","28355","52588955","5548","2018-03-21 08:25:58","1","100"
"542459","28356","52588955","5548","2018-03-21 08:25:58","1","950"
"542789","28353","52588955","5548","2018-03-21 08:25:58","1","100"
"542448","28355","52588955","5548","2018-03-21 08:25:58","1","100"
"542789","28353","52588954","5548","2018-03-21 10:13:10","1","100"
"542449","28356","52588954","5548","2018-03-21 10:13:10","1","1450"
"542788","28352","52588951","5548","2018-03-21 10:27:48","1","450"
"542433","28352","52588951","5548","2018-03-21 10:27:48","1","400"
"542787","28352","52588951","5548","2018-03-21 10:27:48","1","325"
"542459","28356","52588952","5548","2018-03-21 10:32:37","1","950"
"542428","28351","52588953","5548","2018-03-21 11:04:21","1","650"
"542434","28351","52588957","5548","2018-03-22 06:42:53","1","895"
"542441","28355","52588957","5548","2018-03-22 06:42:53","1","100"
"542459","28356","52588958","5548","2018-03-22 07:15:25","1","950"
"542443","28351","52588960","5548","2018-03-22 08:08:37","1","400"
"542444","28351","52588960","5548","2018-03-22 08:08:37","1","400"
"542448","28355","52588960","5548","2018-03-22 08:08:37","1","100"
"542436","28351","52588960","5548","2018-03-22 08:08:37","1","775"
"542439","28353","52588960","5548","2018-03-22 08:08:37","2","100"
"542789","28353","52588960","5548","2018-03-22 08:08:37","2","100"
"542437","28351","52588956","5548","2018-03-22 08:49:35","1","995"
"542436","28351","52588959","5548","2018-03-22 09:05:39","1","775"
"542789","28353","52588959","5548","2018-03-22 09:05:39","2","100"
"542444","28351","52588959","5548","2018-03-22 09:05:39","1","400"
"542459","28356","52588964","5548","2018-03-23 05:42:13","1","950"
"542435","28351","52588962","5548","2018-03-23 06:13:06","2","650"
"542450","28351","52588963","5548","2018-03-23 10:07:02","2","650"
"542434","28351","52588961","5548","2018-03-23 11:09:46","1","895"
"542435","28351","52588961","5548","2018-03-23 11:09:46","1","650"
"542437","28351","52588972","5548","2018-03-24 08:03:17","2","995"
"542435","28351","52588972","5548","2018-03-24 08:03:17","2","650"
"542459","28356","52588968","5548","2018-03-24 08:17:47","1","950"
"542459","28356","52588968","5548","2018-03-24 08:17:47","1","950"
